CUI_2,InstitucionBancaria_2,AbreviacionInstitucion_2,TipoCuenta_2,MontoTransferencia,FechaTransferencia,tipotrx
6467582497,Banco Promerica,Promerica,Monetaria en $,5058,2020-01-03 00:03:58,credito
7422400781,Banco de desarrollo rural,BANRURAL,Monetaria en Q,4431,2020-01-16 18:23:25,credito
2344960856,Banco Agromercantil,BAM,Monetaria en Q,9675,2020-07-27 21:50:39,credito
2344960856,Banco Agromercantil,BAM,Monetaria en Q,2606,2020-03-15 16:16:18,credito
445543914,Banco G&T,G&T,Monetaria en $,1119,2020-11-28 12:49:37,credito
6816494733,Banco Promerica,Promerica,Ahorro,153,2020-10-04 14:38:18,credito
3601075148,Banco Promerica,Promerica,Monetaria en $,9210,2020-12-23 16:13:39,credito
3199681735,Banco Industrial,BI,Monetaria en Q,1240,2020-01-29 15:20:17,credito
1976810418,Banco de desarrollo rural,BANRURAL,Ahorro,1160,2021-01-28 12:33:06,credito
1432225464,Banco G&T,G&T,Ahorro,1311,2020-02-29 11:47:20,credito
440057779,Banco Agromercantil,BAM,Monetaria en $,3484,2020-08-16 04:30:40,credito
1909436437,Banco de desarrollo rural,BANRURAL,Ahorro,8817,2021-01-25 15:05:45,credito
7589827045,Banco Industrial,BI,Monetaria en $,2862,2021-03-27 21:57:11,credito
7737952055,Banco G&T,G&T,Monetaria en $,9423,2020-10-24 10:35:45,credito
1962610551,Banco Industrial,BI,Monetaria en $,699,2020-11-24 14:51:35,credito
1432225464,Banco Industrial,BI,Monetaria en $,4183,2021-01-03 20:45:45,credito
5203620156,Banco de desarrollo rural,BANRURAL,Monetaria en $,9401,2020-12-31 13:25:38,credito
3334586502,Banco G&T,G&T,Monetaria en Q,9718,2020-01-17 17:50:59,credito
3070506224,Banco de desarrollo rural,BANRURAL,Monetaria en $,1328,2020-06-24 14:57:56,credito
2344960856,Banco Agromercantil,BAM,Monetaria en Q,9456,2020-03-22 23:16:44,credito
5203620156,Banco de desarrollo rural,BANRURAL,Monetaria en $,5410,2020-10-09 23:36:35,credito
1653130695,Banco G&T,G&T,Ahorro,507,2020-01-06 22:07:43,credito
3179095431,Banco Agromercantil,BAM,Ahorro,7836,2020-06-14 15:07:04,credito
7341877243,Banco Promerica,Promerica,Monetaria en Q,680,2020-07-01 04:14:52,credito
3601075148,Banco Promerica,Promerica,Monetaria en $,8175,2021-03-11 10:01:24,credito
4474118367,Banco de desarrollo rural,BANRURAL,Monetaria en Q,1094,2020-08-01 20:10:46,credito
1805028979,Banco Industrial,BI,Monetaria en $,6787,2020-11-22 19:50:09,credito
6668839878,Banco Industrial,BI,Ahorro,8120,2020-02-09 20:34:38,credito
270162925,Banco Industrial,BI,Ahorro,4426,2020-02-25 09:08:29,credito
6920115220,Banco Promerica,Promerica,Monetaria en $,3200,2020-07-06 16:22:06,credito
1909436437,Banco de desarrollo rural,BANRURAL,Ahorro,1922,2021-03-27 00:51:35,credito
7422400781,Banco de desarrollo rural,BANRURAL,Monetaria en Q,8570,2020-09-21 17:05:21,credito
270162925,Banco G&T,G&T,Monetaria en $,6864,2020-11-13 20:51:25,credito
7341877243,Banco Industrial,BI,Ahorro,3888,2020-05-03 10:35:12,credito
1909436437,Banco de desarrollo rural,BANRURAL,Ahorro,7344,2020-04-06 01:40:37,credito
2720935689,Banco Promerica,Promerica,Monetaria en Q,8263,2020-07-18 20:52:13,credito
3334586502,Banco Industrial,BI,Monetaria en Q,2878,2020-11-23 10:58:44,credito
930849132,Banco G&T,G&T,Monetaria en $,2517,2020-03-11 12:03:19,credito
3278286464,Banco Promerica,Promerica,Monetaria en Q,7035,2021-02-17 17:52:15,credito
3808552263,Banco Industrial,BI,Monetaria en Q,313,2020-11-02 09:12:58,credito
6310900986,Banco Industrial,BI,Monetaria en $,6989,2020-08-02 01:56:01,credito
1653130695,Banco G&T,G&T,Ahorro,9087,2020-08-08 08:28:31,credito
2344960856,Banco de desarrollo rural,BANRURAL,Monetaria en Q,1034,2020-11-09 07:38:00,credito
930849132,Banco Promerica,Promerica,Ahorro,3577,2021-01-20 07:03:57,credito
3601075148,Banco Promerica,Promerica,Monetaria en $,2585,2020-08-10 17:54:00,credito
7422400781,Banco de desarrollo rural,BANRURAL,Monetaria en Q,6603,2021-02-03 00:38:54,credito
1432225464,Banco Industrial,BI,Monetaria en $,2808,2020-04-14 00:13:16,credito
1962610551,Banco Industrial,BI,Monetaria en $,6887,2020-01-23 20:06:52,credito
930849132,Banco G&T,G&T,Monetaria en $,9361,2020-04-14 14:09:49,credito
1909436437,Banco Industrial,BI,Monetaria en Q,2900,2020-05-18 14:19:52,credito
7652775906,Banco Promerica,Promerica,Monetaria en Q,6260,2020-06-26 10:42:24,credito
7737952055,Banco G&T,G&T,Monetaria en $,8012,2020-03-24 07:25:49,credito
6981272008,Banco Promerica,Promerica,Ahorro,2643,2020-10-19 05:40:55,credito
7341877243,Banco Industrial,BI,Monetaria en $,8410,2020-02-01 06:09:20,credito
6154977174,Banco Agromercantil,BAM,Ahorro,6618,2020-09-23 13:14:24,credito
8068530312,Banco G&T,G&T,Monetaria en Q,9895,2020-03-24 09:43:19,credito
1187255777,Banco Industrial,BI,Ahorro,9319,2020-07-17 02:35:02,credito
1805028979,Banco Industrial,BI,Monetaria en $,2559,2020-02-01 05:24:28,credito
2344960856,Banco G&T,G&T,Monetaria en $,6782,2020-04-15 15:53:13,credito
3345353652,Banco Promerica,Promerica,Ahorro,4033,2020-02-25 13:35:38,credito
3808552263,Banco Industrial,BI,Monetaria en Q,2190,2020-03-03 00:51:36,credito
1909436437,Banco Promerica,Promerica,Ahorro,5862,2020-03-05 15:49:46,credito
3278286464,Banco Promerica,Promerica,Monetaria en Q,4893,2020-03-18 07:41:47,credito
7873382966,Banco Agromercantil,BAM,Monetaria en $,9596,2021-03-09 04:18:37,credito
7341877243,Banco Industrial,BI,Ahorro,1706,2021-02-28 09:53:03,credito
6467582497,Banco G&T,G&T,Monetaria en Q,9753,2020-06-16 11:55:19,credito
3693967563,Banco G&T,G&T,Monetaria en $,2053,2020-10-11 05:38:24,credito
1962610551,Banco Promerica,Promerica,Monetaria en $,3900,2020-05-19 02:32:49,credito
6310900986,Banco Industrial,BI,Monetaria en $,8638,2020-09-16 15:32:12,credito
7361225500,Banco Promerica,Promerica,Ahorro,1957,2020-02-12 10:42:47,credito
6920115220,Banco G&T,G&T,Monetaria en $,6163,2020-08-24 20:38:44,credito
930849132,Banco Promerica,Promerica,Ahorro,2545,2020-08-16 18:41:05,credito
2293547442,Banco Industrial,BI,Monetaria en $,9963,2021-02-24 18:10:59,credito
3179095431,Banco Promerica,Promerica,Monetaria en $,4032,2020-08-05 01:57:28,credito
2293547442,Banco Industrial,BI,Monetaria en $,8816,2020-12-09 16:14:18,credito
7725887806,Banco Promerica,Promerica,Monetaria en $,5460,2020-10-23 13:39:02,credito
1909436437,Banco Industrial,BI,Ahorro,1714,2021-01-05 15:54:47,credito
7858016997,Banco de desarrollo rural,BANRURAL,Ahorro,583,2020-07-10 21:09:31,credito
2286509069,Banco Agromercantil,BAM,Ahorro,5224,2021-03-05 11:08:14,credito
9835876975,Banco Promerica,Promerica,Ahorro,9947,2020-02-06 16:26:41,credito
3334586502,Banco Industrial,BI,Monetaria en Q,1732,2020-04-06 23:46:35,credito
445543914,Banco G&T,G&T,Monetaria en $,7270,2020-05-28 04:12:18,credito
1653130695,Banco G&T,G&T,Ahorro,4817,2021-04-12 06:33:26,credito
2286509069,Banco Industrial,BI,Monetaria en Q,8648,2020-08-30 12:12:00,credito
5203620156,Banco de desarrollo rural,BANRURAL,Monetaria en $,4579,2020-05-25 02:22:35,credito
7819264039,Banco de desarrollo rural,BANRURAL,Monetaria en $,5068,2020-12-06 22:54:21,credito
7737952055,Banco Industrial,BI,Monetaria en $,4208,2021-02-26 05:45:24,credito
1962610551,Banco Industrial,BI,Monetaria en Q,2079,2020-07-26 08:36:42,credito
3601075148,Banco Promerica,Promerica,Monetaria en $,7028,2020-11-21 12:37:03,credito
1805028979,Banco Industrial,BI,Monetaria en $,7160,2021-01-15 07:58:09,credito
3199681735,Banco Industrial,BI,Monetaria en Q,279,2020-09-19 13:16:12,credito
4113842388,Banco de desarrollo rural,BANRURAL,Monetaria en $,5375,2020-01-07 22:50:20,credito
9158606432,Banco de desarrollo rural,BANRURAL,Monetaria en $,3953,2020-03-29 06:39:52,credito
9835876975,Banco Promerica,Promerica,Ahorro,3391,2021-04-12 04:59:08,credito
3601075148,Banco G&T,G&T,Monetaria en $,9273,2020-10-24 15:29:25,credito
6467582497,Banco de desarrollo rural,BANRURAL,Monetaria en $,9703,2020-05-09 19:47:21,credito
1653130695,Banco G&T,G&T,Monetaria en Q,4550,2021-01-28 18:26:16,credito
5981356200,Banco de desarrollo rural,BANRURAL,Monetaria en $,7075,2020-03-13 14:48:06,credito
270162925,Banco de desarrollo rural,BANRURAL,Ahorro,8540,2020-09-18 15:08:25,credito
1962610551,Banco G&T,G&T,Monetaria en Q,8030,2020-12-15 17:00:58,credito
7737952055,Banco Promerica,Promerica,Ahorro,3158,2021-01-01 20:57:02,credito
7422400781,Banco de desarrollo rural,BANRURAL,Monetaria en Q,2057,2020-02-07 03:20:52,credito
2344960856,Banco G&T,G&T,Monetaria en $,9995,2020-07-11 10:59:27,credito
6816494733,Banco Industrial,BI,Monetaria en Q,7847,2021-04-03 07:12:14,credito
9835876975,Banco Industrial,BI,Monetaria en Q,6469,2020-09-18 22:07:41,credito
1962610551,Banco Industrial,BI,Monetaria en $,5582,2020-11-28 16:04:37,credito
1909436437,Banco de desarrollo rural,BANRURAL,Ahorro,7402,2020-04-24 22:26:16,credito
208181717,Banco Industrial,BI,Monetaria en Q,3104,2020-03-17 20:44:48,credito
5618537931,Banco Agromercantil,BAM,Ahorro,4307,2020-03-25 06:22:47,credito
6816494733,Banco Industrial,BI,Monetaria en Q,8192,2020-02-19 06:47:05,credito
5981356200,Banco de desarrollo rural,BANRURAL,Monetaria en $,2896,2020-10-01 20:50:27,credito
2344960856,Banco de desarrollo rural,BANRURAL,Monetaria en Q,6470,2020-10-29 21:17:40,credito
1187255777,Banco Industrial,BI,Ahorro,1350,2020-11-02 23:19:18,credito
2320648240,Banco Agromercantil,BAM,Ahorro,9426,2020-07-30 18:48:34,credito
4464029000,Banco G&T,G&T,Monetaria en $,3301,2020-07-28 12:50:33,credito
7652775906,Banco Promerica,Promerica,Monetaria en Q,7188,2021-04-01 17:20:07,credito
6816494733,Banco Promerica,Promerica,Ahorro,2688,2020-03-29 17:59:17,credito
8712012858,Banco Industrial,BI,Monetaria en Q,8950,2020-06-25 11:41:23,credito
1432225464,Banco Industrial,BI,Monetaria en $,4079,2020-01-11 15:55:02,credito
3899636643,Banco Industrial,BI,Ahorro,5120,2020-01-08 05:22:10,credito
4105124471,Banco G&T,G&T,Monetaria en $,4531,2020-11-28 16:16:15,credito
930849132,Banco Industrial,BI,Ahorro,2750,2020-03-30 15:47:25,credito
6172401947,Banco Industrial,BI,Monetaria en $,7301,2020-05-24 18:58:34,credito
7737952055,Banco Promerica,Promerica,Ahorro,1766,2021-03-19 23:04:52,credito
2286509069,Banco Agromercantil,BAM,Ahorro,830,2021-01-06 10:12:49,credito
6172401947,Banco Industrial,BI,Monetaria en $,5061,2021-03-10 06:39:54,credito
3888897025,Banco Agromercantil,BAM,Ahorro,6169,2020-12-18 00:05:33,credito
1485345081,Banco Industrial,BI,Monetaria en $,684,2020-02-26 12:36:41,credito
7964176803,Banco Industrial,BI,Monetaria en Q,2215,2020-01-09 06:40:27,credito
3888897025,Banco Agromercantil,BAM,Ahorro,1959,2020-07-01 06:08:57,credito
2720935689,Banco Promerica,Promerica,Monetaria en Q,1600,2020-01-27 07:04:36,credito
3808552263,Banco Industrial,BI,Monetaria en Q,7452,2021-01-20 09:01:42,credito
1952883946,Banco G&T,G&T,Monetaria en $,7922,2020-04-02 17:27:27,credito
2320648240,Banco G&T,G&T,Monetaria en Q,9668,2020-08-22 09:45:58,credito
4474118367,Banco G&T,G&T,Monetaria en Q,6568,2021-02-19 16:18:49,credito
2720935689,Banco G&T,G&T,Monetaria en Q,292,2020-06-16 20:30:40,credito
6154977174,Banco Agromercantil,BAM,Ahorro,9094,2020-01-10 06:38:40,credito
930849132,Banco Promerica,Promerica,Ahorro,1194,2020-04-04 21:15:26,credito
1909436437,Banco Promerica,Promerica,Monetaria en $,874,2020-01-07 20:22:56,credito
8068530312,Banco G&T,G&T,Monetaria en Q,5410,2020-03-04 16:19:27,credito
3278286464,Banco Promerica,Promerica,Monetaria en Q,4126,2020-02-10 10:58:49,credito
8712012858,Banco Industrial,BI,Monetaria en Q,7960,2020-06-13 04:43:44,credito
6172401947,Banco Industrial,BI,Monetaria en $,9601,2020-10-29 23:07:46,credito
7964176803,Banco Industrial,BI,Monetaria en Q,6287,2020-01-24 00:26:51,credito
2293083373,Banco de desarrollo rural,BANRURAL,Monetaria en $,7305,2020-04-02 12:24:00,credito
6393106875,Banco G&T,G&T,Monetaria en Q,6355,2021-03-28 18:32:39,credito
6816494733,Banco Industrial,BI,Monetaria en Q,1954,2021-01-21 11:31:03,credito
270162925,Banco G&T,G&T,Monetaria en $,7648,2020-09-22 21:07:41,credito
6668839878,Banco Agromercantil,BAM,Ahorro,6619,2020-04-22 05:55:55,credito
6816494733,Banco Industrial,BI,Monetaria en Q,5302,2020-05-30 00:36:28,credito
6668839878,Banco Agromercantil,BAM,Ahorro,2525,2020-08-12 15:39:32,credito
6456388384,Banco Promerica,Promerica,Monetaria en $,8267,2020-04-02 10:16:14,credito
3808552263,Banco Industrial,BI,Monetaria en Q,6621,2020-01-23 01:24:28,credito
1805028979,Banco Promerica,Promerica,Monetaria en Q,9488,2021-03-26 08:17:28,credito
7819264039,Banco de desarrollo rural,BANRURAL,Monetaria en Q,6746,2020-04-02 09:45:33,credito
1909436437,Banco de desarrollo rural,BANRURAL,Ahorro,597,2020-03-22 15:17:31,credito
1962610551,Banco Industrial,BI,Monetaria en $,2366,2020-02-19 23:57:42,credito
6154977174,Banco Agromercantil,BAM,Ahorro,3999,2021-01-22 08:58:15,credito
7361225500,Banco Promerica,Promerica,Ahorro,2232,2021-03-26 04:24:29,credito
7361225500,Banco Promerica,Promerica,Ahorro,7092,2020-01-12 04:21:27,credito
7725887806,Banco Promerica,Promerica,Monetaria en $,170,2020-05-06 21:11:34,credito
2344960856,Banco de desarrollo rural,BANRURAL,Monetaria en $,5463,2021-02-09 01:40:34,credito
3278286464,Banco G&T,G&T,Monetaria en $,6461,2021-02-18 02:09:09,credito
2293083373,Banco de desarrollo rural,BANRURAL,Monetaria en $,242,2021-02-25 18:41:16,credito
6668839878,Banco de desarrollo rural,BANRURAL,Monetaria en $,5819,2020-11-19 23:08:00,credito
2344960856,Banco Agromercantil,BAM,Monetaria en Q,3567,2020-01-02 05:56:58,credito
3345353652,Banco G&T,G&T,Monetaria en $,9766,2020-08-10 15:23:05,credito
4464029000,Banco G&T,G&T,Monetaria en $,6608,2020-10-21 09:52:38,credito
3199681735,Banco de desarrollo rural,BANRURAL,Monetaria en $,4733,2020-02-03 03:39:08,credito
2897073799,Banco G&T,G&T,Monetaria en Q,3961,2020-05-10 19:27:35,credito
7361225500,Banco Promerica,Promerica,Ahorro,8493,2020-08-01 10:48:11,credito
7341877243,Banco Promerica,Promerica,Monetaria en Q,3171,2020-07-14 09:56:02,credito
1187255777,Banco Industrial,BI,Ahorro,9305,2021-04-08 15:45:39,credito
5203620156,Banco de desarrollo rural,BANRURAL,Monetaria en $,5762,2020-12-08 05:28:01,credito
7873382966,Banco Agromercantil,BAM,Monetaria en $,2523,2020-08-30 12:56:49,credito
1653130695,Banco G&T,G&T,Ahorro,6483,2020-02-04 23:52:12,credito
8640571546,Banco Agromercantil,BAM,Monetaria en Q,4725,2020-11-07 18:30:49,credito
6467582497,Banco Agromercantil,BAM,Monetaria en Q,5451,2020-08-08 15:41:18,credito
6172401947,Banco Industrial,BI,Monetaria en $,5710,2020-12-22 04:34:19,credito
1976810418,Banco G&T,G&T,Monetaria en $,8364,2020-07-02 10:52:53,credito
7422400781,Banco de desarrollo rural,BANRURAL,Monetaria en Q,8915,2020-05-05 00:48:29,credito
3345353652,Banco G&T,G&T,Monetaria en $,6522,2020-11-15 18:07:37,credito
9835876975,Banco G&T,G&T,Monetaria en Q,7821,2020-02-02 00:33:52,credito
1187255777,Banco Agromercantil,BAM,Monetaria en $,3271,2020-11-23 13:10:29,credito
6981272008,Banco Industrial,BI,Ahorro,6270,2020-12-25 12:27:49,credito
7873382966,Banco Agromercantil,BAM,Monetaria en $,784,2020-04-09 19:40:46,credito
7737952055,Banco de desarrollo rural,BANRURAL,Monetaria en $,5465,2020-01-11 13:07:18,credito
4243293546,Banco Promerica,Promerica,Ahorro,8301,2020-10-31 04:35:26,credito
4464029000,Banco Promerica,Promerica,Ahorro,1604,2020-09-26 15:57:15,credito
